Exp,BFS_Exito,BFS_Tiempo,BFS_Longitud,BFS_NodosExplorados,Gen_Exito,Gen_Tiempo,Gen_Longitud,Gen_Generaciones
1,False,0.0003353689999130438,,189,False,0.07474790700007361,,200
2,True,0.00016223700004047714,31,199,True,0.02461365699991802,53,56
3,True,0.00013814200019623968,31,178,False,0.07643026899995675,,200
4,True,0.0001461040001231595,31,179,True,0.030482964999919204,45,70
5,False,0.0001526690002719988,,184,False,0.08237060300007215,,200
6,True,0.0001554619998387352,31,197,True,0.024144614999840996,43,55
7,True,0.0001610489998711273,31,204,False,0.08282504899989362,,200
8,True,0.0001343710000583087,35,173,False,0.0819787349996659,,200
9,False,5.308000254444778e-06,,1,False,0.07190634899961879,,200
10,False,0.00015644099994460703,,187,False,0.0826361330000509,,200
11,True,0.00014442800011238432,31,178,False,0.08296556599998439,,200
12,True,0.0001482689999647846,31,195,True,0.04652089599994724,41,110
13,True,0.00013744399984716438,31,174,True,0.02540535700018154,41,57
14,True,0.00013632700029120315,31,167,True,0.048741789999894536,49,114
15,True,0.0001372350002384337,31,175,True,0.03830484400032219,41,90
16,False,0.00012696899966613273,,165,False,0.07799592999981542,,200
17,True,0.00012494200018409174,31,163,True,0.023669986000186327,41,55
18,False,0.00014135500032352866,,191,False,0.08195917900002314,,200
19,True,0.00015280800016626017,31,188,True,0.04416423400016356,43,103
20,True,0.00015790699990247958,31,195,False,0.06767044700018232,,200
